Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
lazyCoP---0.1-8.0.0,8.0.0,5.73503,0,1779,0,0
Zipperpin---0.4-6.3.0,6.3.0,5.72952,75.7575,2049,0,0
iProverMo---0.7-0.3-6.4.0,6.4.0,5.69675,0,1811,0,0
iProverMo---0.7-0.3-7.0.0,7.0.0,5.69675,0,1811,0,0
Zipperpin---0.4-6.4.0,6.4.0,5.68869,0,2038,0,0
Zipperpin---0.4-7.0.0,7.0.0,5.68869,0,2038,0,0
iProverMo---0.7-0.3-6.3.0,6.3.0,5.66444,75.4334,1807,0,0
ZenonArith---0.1.0-6.3.0,6.3.0,5.62267,50.58275,1374,0,4
ZenonArith---0.1.0-6.4.0,6.4.0,5.62267,0,1374,0,0
Muscadet---4.5-7.3.0,7.3.0,5.59642,0.03448,1495,0,0
Muscadet---4.5-7.4.0,7.4.0,5.59642,0,1495,0,0
